[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2008, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3989292603.304,05/30/2026,8:47 am
BYAPP,VSM,2.0,1.0
INFO,VersaLab VSM Option Release 1.6.0 Build 0,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1427,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM945,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,823,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A4,OVEN_HW_VERSION
INFO,OVB415,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,LB824,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,105.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3989305778.012,150.18318939209,10000.0068359375,0.093182060437801,2.7880558053302E-5,1,0.999253354069792,40.0298881530762,1.9938131557244,20.2300008386374,0.456365376258696,0.0889599763409065,2.5,0.000977631370409293,0.0931643688259148,0.00112565524335358,150.185943603516,150.185943603516,9999.98046875,10000.033203125,47.1439241374088,17.029901580719,104.402015686035,0,0,0,40,149.423126220703,1,4,1,1.90261840820313,55.7184753417969,,,,,,,,,,,,,,,,
,3989306189.685,156.624038696289,10000.02734375,,,2,,,,20.2199996003509,,,,,,,156.624038696289,156.624038696289,10000.02734375,10000.02734375,,,104.853233337402,,,,40,157.603210449219,0,0,0,0.0408935546875,52.7859268188477,,,,,,,,,,,,,,,,
,3989306483.5075,160.158470153809,10000.0068359375,0.088599004249046,2.27327942635825E-5,1,0.999253354069792,40.0298881530762,1.99377826310955,20.2099997550249,0.434032410393836,0.0840043879233315,2.5,0.000823484574247279,0.0885850734726086,0.000951873316045619,160.161911010742,160.161911010742,10000,10000.013671875,47.0751408277165,17.0311313035582,105.081771850586,0,0,0,40,159.36930847168,1,4,1,1.90200805664062,55.7184753417969,,,,,,,,,,,,,,,,
,3989306806.341,165.140121459961,9999.98046875,,,2,,,,20.2300001421571,,,,,,,165.140121459961,165.140121459961,9999.98046875,9999.98046875,,,105.349678039551,,,,40,166.131500244141,0,0,0,0.03387451171875,52.7859268188477,,,,,,,,,,,,,,,,
,3989307189.9845,170.128128051758,9999.9970703125,0.0843003409369521,2.88779917262445E-5,1,0.999253354069792,40.0298881530762,1.98154046225379,20.2200002968311,0.410625710106348,0.0788737093297321,2.5,0.000674458403949586,0.08428920001341,0.000786864151224573,170.131454467773,170.131454467773,9999.98046875,10000.013671875,46.8719174127165,17.0255153865452,105.704055786133,0,0,0,40,169.322463989258,1,4,1,1.89834594726562,56.2072334289551,,,,,,,,,,,,,,,,
,3989307422.887,173.643341064453,10000.0087890625,,,2,,,,20.2300001421571,,,,,,,173.643341064453,173.643341064453,10000.0087890625,10000.0087890625,,,105.968780517578,,,,40,174.647613525391,0,0,0,0.04547119140625,52.7859268188477,,,,,,,,,,,,,,,,
,3989307896.47,180.099479675293,9999.97412109375,0.0804291537037267,3.34245818516129E-5,1,0.999253354069792,40.0298881530762,1.99368411312804,20.2200002968311,0.394186121549969,0.0752870912971223,2.5,0.000566939975168044,0.0804200714719422,0.000666337816664281,180.103561401367,180.103561401367,9999.953125,9999.9951171875,46.9500802646396,17.0324044419362,106.327941894531,0,0,0,40,179.297241210938,1,4,1,1.90155029296875,56.2072334289551,,,,,,,,,,,,,,,,
,3989308040.449,182.152633666992,10000.0185546875,,,2,,,,20.2300001421571,,,,,,,182.152633666992,182.152633666992,10000.0185546875,10000.0185546875,,,106.388336181641,,,,40,183.173187255859,0,0,0,0.035858154296875,52.7859268188477,,,,,,,,,,,,,,,,
,3989308602.956,190.08228302002,9999.978515625,0.0769673452543997,2.39535079455529E-5,1,0.999253354069792,40.0298881530762,1.99374142312263,20.2200002968311,0.377298448467411,0.0717071834525534,2.5,0.000479195114892578,0.0769598267472225,0.000567892672901485,190.084732055664,190.084732055664,9999.9482421875,10000.0087890625,47.1423608803704,17.0328332590128,106.843017578125,0,0,0,40,189.289398193359,1,4,1,1.90292358398438,56.2072334289551,,,,,,,,,,,,,,,,
,3989308656.92,190.495590209961,9999.9765625,,,2,,,,20.2300001421571,,,,,,,190.495590209961,190.495590209961,9999.9765625,9999.9765625,,,106.920700073242,,,,40,191.521148681641,0,0,0,0.042877197265625,53.2746849060059,,,,,,,,,,,,,,,,
