[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3984205985.735,04/01/2026,11:50 am
BYAPP,ACMS II,1.0,1.2
INFO,VersaLab ACMS II Option Release 1.0.8 Build 47,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1427,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 D0,ACMS_HW_VERSION
INFO,ACMSII302,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,wf282,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Galapagos,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,114,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
,3984247081.33346,280.749064127604,-0.00514765537809581,0.00134854892473621,4.10463786424161E-7,1.59302079367638,0.00566010309252803,0.000134959209604076,4.10781301076912E-8,0.000134907049052187,3.75184927573984E-6,7.29097181210098E-10,2.52265365513489E-9,9.99227046966553,300,,,,1,1,3,320,1,3,0.000141699476127901,6.81154945649617E-6,,,4.2389281134092E-6,8.61011521919863E-5,5,0.00667647458612919,218.466018676758,0.285211163943264,,,277.167053222656,280.733520507813,280.756408691406,-0.00748749356716871,-0.0028078171890229,,6,4,1,0,26.4930003385544,1,,,36.1681327819824,39.1006851196289,,,,,,,,,,,,,,,,
,3984247126.6093,280.694877830712,0.0182507652789354,0.0013418895846089,2.13338443540986E-7,1.46388378067264,0.00669284264444151,0.000134320502310666,2.13547576695386E-8,0.000134276663716393,3.43146064883032E-6,4.99912680257652E-9,5.17172490852042E-9,9.99020671844482,1642.10522460938,,,,1,1,3,2048,1,4,0.000135528014292151,6.97122594465034E-6,,,2.56854227700387E-5,0.000451257670647465,5,0.0224667675793171,238.401550292969,1.27184935290038,,,276.226196289062,280.633666992187,280.745025634766,0.0112312454730272,0.0252702850848436,,6,4,1,0,26.4930003385544,1,,,36.1681327819824,39.5894432067871,,,,,,,,,,,,,,,,
,3984247193.93598,280.368740375225,-0.0168468573829159,0.00134970209525323,1.14392461944556E-7,1.40243420624787,0.00285526813205443,0.000135050332293458,1.14460369083005E-8,0.000135009878085262,3.30530966416887E-6,1.17948788087766E-8,1.7992537406046E-8,9.99406719207764,8994.5947265625,,,,10,1,3,9216,1,5,0.000135898476122699,6.28404466592044E-6,,,0.000122487387216097,0.00253394030733034,5,0.253475368022919,12.5228595733643,5.017657942122,,,275.917388916016,280.280212402344,280.461639404297,-0.0308858975768089,-0.0028078171890229,,5,4,1,0,26.4930003385544,1,,,36.1681327819824,39.1006851196289,,,,,,,,,,,,,,,,
,3984249141.37813,290.501007080078,0.0299499612301588,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,6,4,1,,26.5529998641014,2,,,36.6568908691406,39.5894432067871,,,,,,,,,,,,,,,,
sample offset = 26.15 mm touchdown = 12.5799998641014 mm,3984249155.68886,290.576751073201,-0.0168468519113958,0.00138160937714184,4.46390541903725E-5,1.18340676942192,1.32239575715512,0.00013824168821203,4.46651442409245E-6,0.000138212202173583,2.85508844709661E-6,6.75101681300085E-9,6.96525685849246E-9,9.99415874481201,10,,,,10,1,3,10,1,1,0.000146458914032699,3.15253734078661E-6,,,7.77343558411303E-8,2.99947225812502E-6,5,0.0135328667238355,196.69987487793,0.0748445420847528,,,289.252136230469,290.510406494141,290.636352539063,-0.0215265341103077,-0.0121671697124839,,6,4,1,0,26.5529998641014,1,,,36.6568908691406,39.5894432067871,,,,,,,,,,,,,,,,
,3984249186.46549,290.691571294045,0.00655155256390572,0.00138999093898145,9.27784117604527E-7,1.46887778594225,0.0315150541335753,0.000139081170379231,9.2833195754682E-8,0.00013903546780996,3.56519914199068E-6,8.81940681416818E-10,6.46310305271545E-10,9.99409866333008,54.8009376525879,,,,1,1,3,56,1,2,0.000147215767732641,4.41605921691489E-6,,,4.93851246119448E-7,1.63641097969958E-5,5,0.00554092647507787,187.819259643555,0.0986076835984565,,,288.268493652344,290.642333984375,290.728668212891,-0.0262062214314938,0.0393093265593052,,6,4,1,0,26.5529998641014,1,,,36.1681327819824,39.5894432067871,,,,,,,,,,,,,,,,
,3984249224.53979,290.746039028825,0.00421172002097592,0.00137448028545806,3.38635024228726E-7,1.5893090049279,0.00471624699126102,0.000137554351599139,3.38896975674099E-8,0.000137501435488622,3.81508616257309E-6,6.24193542957958E-10,2.07576401642879E-9,9.99227046966553,300,,,,1,1,3,320,1,3,0.000144509981062722,6.84886147776382E-6,,,4.26640428941028E-6,8.78080682014115E-5,5,0.00652980897575617,216.641342163086,0.281375387315685,,,287.153259277344,290.729522705078,290.756683349609,0.00187188189011067,0.00655155815184116,,6,4,1,0,26.5529998641014,1,,,36.1681327819824,39.5894432067871,,,,,,,,,,,,,,,,
,3984249269.00576,290.705855475532,0.00421171402558684,0.0013665642931922,2.91232605344906E-7,1.42300881605767,0.00761038710559237,0.000136790392001512,2.91518097225362E-8,0.000136748205531118,3.39700278868094E-6,5.67886300377756E-9,8.02300391000275E-9,9.99020671844482,1642.10522460938,,,,1,1,3,2048,1,4,0.000138128227600702,7.09070648834163E-6,,,2.62304047282669E-5,0.000460032926639542,5,0.0212449375540018,239.175491333008,1.27064641058199,,,286.165130615234,290.655364990234,290.748931884766,-0.00748749356716871,0.0159109216183424,,6,4,1,0,26.5529998641014,1,,,35.6793746948242,39.5894432067871,,,,,,,,,,,,,,,,
,3984249336.02249,290.413933974046,-0.0238663773052394,0.00137570391734768,1.53378605879371E-7,1.38092929879797,0.00410994003098642,0.000137652058056825,1.53469656478751E-8,0.000137612079297429,3.31733608751019E-6,1.74601390722791E-8,2.29540337954958E-8,9.99406719207764,8994.5947265625,,,,10,1,3,9216,1,5,0.000138521682915129,6.38950573323843E-6,,,0.000125667860118028,0.00258216273505241,5,0.258286237716675,12.8748331069946,5.05013534284441,,,285.743927001953,290.326934814453,290.50390625,-0.0402452610433102,-0.00748749356716871,,5,4,1,0,26.5529998641014,1,,,36.1681327819824,40.0782012939453,,,,,,,,,,,,,,,,
,3984251406.41774,300.498962402344,-0.0308858975768089,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,26.6229999314547,2,,,36.6568908691406,39.5894432067871,,,,,,,,,,,,,,,,
