[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2008, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3989230493.355,05/29/2026,3:32 pm
BYAPP,VSM,2.0,1.0
INFO,VersaLab VSM Option Release 1.6.0 Build 0,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1427,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM945,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,823,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A4,OVEN_HW_VERSION
INFO,OVB415,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,LB824,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,105.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3989242724.179,149.97233581543,50.017936706543,,,2,,,,20.7800001391768,,,,,,,149.97233581543,149.97233581543,50.017936706543,50.017936706543,,,104.957786560059,,,,40,149.607711791992,0,0,0,0.043792724609375,52.7859268188477,,,,,,,,,,,,,,,,
,3989242747.5545,150.010879516602,49.9734802246094,0.000633524304169316,1.2062592299095E-6,1,0.999253354069792,40.0298881530762,1.99376346511375,20.7700002938509,0.00310165768913866,0.000609237102634305,0.25,7.55325503015635E-6,0.00063340172782276,8.56313613412611E-6,150.009521484375,150.009521484375,49.9337005615234,50.0132598876953,47.0938999121781,17.0573971068706,104.916282653809,0,0,0,40,149.684341430664,1,4,1,1.90200805664062,54.2522010803223,,,,,,,,,,,,,,,,
,3989243108.1845,155.006278991699,49.9664573669434,0.000620912503306079,1.44689160966364E-6,1,0.999253354069792,40.0298881530762,1.99375046633601,20.7700002938509,0.00303988153454255,0.000597451861075748,0.25,7.51752920564286E-6,0.000620802661952413,8.46144576283861E-6,155.005462646484,155.005462646484,49.9617767333984,49.9711380004883,47.3831024642935,17.0593912427821,105.097999572754,0,0,0,40,154.659637451172,1,4,1,1.90521240234375,55.7184753417969,,,,,,,,,,,,,,,,
,3989243295.777,160.398452758789,49.9617767333984,,,2,,,,20.7800001391768,,,,,,,160.398452758789,160.398452758789,49.9617767333984,49.9617767333984,,,105.41300201416,,,,40,161.635971069336,0,0,0,0.041961669921875,53.2746849060059,,,,,,,,,,,,,,,,
,3989243468.9665,160.00560760498,50.017936706543,0.000611038870843704,8.28465346132771E-7,1,0.999253354069792,40.0298881530762,1.9936240250862,20.7700002938509,0.00299275808616793,0.000580545141767899,0.25,5.93528275933302E-6,0.000610941845756153,6.82344466423538E-6,160.004730224609,160.004730224609,50.017936706543,50.017936706543,47.2791458712358,17.0609561056165,105.534851074219,0,0,0,40,159.63801574707,1,4,1,1.90383911132813,53.7634429931641,,,,,,,,,,,,,,,,
,3989243827.7095,165.003440856934,49.9828414916992,0.000599956054237932,9.26891065718428E-7,1,0.999253354069792,40.0298881530762,1.99347441666479,20.7700002938509,0.00293840173102797,0.000569421914593304,0.25,5.75040290212258E-6,0.000599868462767368,6.58583560984253E-6,165.00260925293,165.00260925293,49.9758224487305,49.989860534668,47.1798790492935,17.063422644505,105.833625793457,0,0,0,40,164.625625610352,1,4,1,1.9049072265625,56.2072334289551,,,,,,,,,,,,,,,,
,3989243912.327,167.019836425781,49.989860534668,,,2,,,,20.8000002914667,,,,,,,167.019836425781,167.019836425781,49.989860534668,49.989860534668,,,105.948028564453,,,,40,169.279830932617,0,0,0,0.041656494140625,53.7634429931641,,,,,,,,,,,,,,,,
,3989244185.5065,169.999229431152,50.0015563964844,0.000589576818011814,8.33233783208002E-7,1,0.999253354069792,40.0298881530762,1.98129964152008,20.7899995148182,0.00287049896576713,0.000556009840426162,0.25,5.63371401398526E-6,0.000589497279080841,6.42179989858118E-6,169.998458862305,169.998458862305,49.9945373535156,50.0085754394531,47.046220572505,17.058196967055,106.138519287109,0,0,0,40,169.624282836914,1,4,1,1.90292358398438,55.7184753417969,,,,,,,,,,,,,,,,
,3989244528.803,174.975372314453,49.9945373535156,,,2,,,,20.8200004437566,,,,,,,174.975372314453,174.975372314453,49.9945373535156,49.9945373535156,,,106.443405151367,,,,40,174.650100708008,0,0,0,0.03936767578125,53.2746849060059,,,,,,,,,,,,,,,,
,3989244542.1855,174.996017456055,49.9851760864258,0.000580293666777445,1.59627004469382E-6,1,0.999253354069792,40.0298881530762,1.99352248056187,20.8100005984306,0.00284342690891522,0.000544252630177014,0.25,4.29294610551705E-6,0.000580222647090277,5.03904925489457E-6,174.995635986328,174.995635986328,49.9851760864258,49.9851760864258,46.992288204678,17.0582660931936,106.428512573242,0,0,0,40,174.626876831055,1,4,1,1.90505981445313,54.7409591674805,,,,,,,,,,,,,,,,
,3989244898.9115,179.993019104004,50.0272979736328,0.000570991600732242,1.13589130371521E-6,1,0.999253354069792,40.0298881530762,1.99342261630544,20.8100005984306,0.0027972735680973,0.000538015912939072,0.25,4.76250248657528E-6,0.000570925930230794,5.4696545923581E-6,179.992797851562,179.992797851562,49.989860534668,50.0647354125977,47.1908218485627,17.0631610209008,106.73526763916,0,0,0,40,179.635345458984,1,4,1,1.90567016601562,55.7184753417969,,,,,,,,,,,,,,,,
,3989245087.531,185.418029785156,49.989860534668,,,2,,,,20.8300000542402,,,,,,,185.418029785156,185.418029785156,49.989860534668,49.989860534668,,,106.942779541016,,,,40,186.650085449219,0,0,0,0.03814697265625,53.7634429931641,,,,,,,,,,,,,,,,
,3989245254.683,184.989837646484,49.9921970367432,0.000561697313865541,8.8680886245078E-7,1,0.999253354069792,40.0298881530762,1.98119712524859,20.8199992775917,0.00273484435731907,0.000528886617032729,0.25,5.27946249827616E-6,0.000561636300494694,5.95056990667034E-6,184.989349365234,184.989349365234,49.9851760864258,49.9992179870605,47.1548669366781,17.0578192799634,107.001045227051,0,0,0,40,184.639587402344,1,4,1,1.9024658203125,55.2297172546387,,,,,,,,,,,,,,,,
,3989245610.364,189.985908508301,49.9875202178955,0.000553724669449758,1.23099677055852E-6,1,0.999253354069792,40.0298881530762,1.98109699379989,20.8199992775917,0.00269653003235402,0.000517993777056044,0.25,4.5372101778986E-6,0.000553669111946112,5.17649248523436E-6,189.985046386719,189.985046386719,49.9524230957031,50.0226173400879,47.3448026668512,17.0610862499636,107.331748962402,0,0,0,40,189.64436340332,1,4,1,1.90338134765625,56.6959953308105,,,,,,,,,,,,,,,,
,3989245703.981,192.310806274414,49.989860534668,,,2,,,,20.8399996647239,,,,,,,192.310806274414,192.310806274414,49.989860534668,49.989860534668,,,107.412094116211,,,,40,194.689254760742,0,0,0,0.039520263671875,53.7634429931641,,,,,,,,,,,,,,,,
,3989245965.1335,194.981300354004,49.9664611816406,0.000546195555586085,1.41228475822874E-6,1,0.999253354069792,40.0298881530762,1.99331452155428,20.8299998193979,0.00267567405376856,0.000514843671219883,0.25,4.6646338889395E-6,0.000546143907339196,5.27469517994068E-6,194.980880737305,194.980880737305,49.9570999145508,49.9758224487305,47.1150038821973,17.0667241166723,107.568794250488,0,0,0,40,194.650268554687,1,4,1,1.90475463867187,55.7184753417969,,,,,,,,,,,,,,,,
,3989246320.329,199.976364135742,49.9758224487305,,,2,,,,20.8599998170137,,,,,,,199.976364135742,199.976364135742,49.9758224487305,49.9758224487305,,,107.914665222168,,,,40,199.660980224609,0,0,0,0.042572021484375,53.2746849060059,,,,,,,,,,,,,,,,
