Temperature (K) [50K],Field (T) [50K],Magnetization (A m^2/kg) [50K],Temperature (K) [150K],Magnetization (A m^2/kg) [150K],Temperature (K) [300K],Magnetization (A m^2/kg) [300K]
50.20296097,1.517887793,0.0028665873859649127,150.0500946,0.0025181680789473685,299.896759,0.0022434822719298243
50.2028904,1.515879688,0.0028653897368421054,150.0499802,0.0025174972280701756,299.89711,0.002242963763157895
50.20293808,1.513853418,0.0028639299649122806,150.0493011,0.0025168123421052627,299.8966064,0.0022428205
50.20315933,1.51196748,0.002863149307017544,150.0489807,0.002516283710526316,299.896759,0.0022421990438596493
50.20336914,1.5100801270000002,0.0028617577894736843,150.0487595,0.0025156662719298243,299.8974762,0.002242085596491228
50.20318413,1.507816846,0.0028602794210526314,150.0488052,0.002514852684210526,299.8976898,0.0022417355087719294
50.20328522,1.506058203,0.0028589835,150.0481567,0.0025144485263157894,299.8973999,0.00224141051754386
50.20334625,1.504299316,0.002857881201754386,150.0484848,0.0025135557631578947,299.897049,0.0022408690789473685
50.2034359,1.502018506,0.00285614752631579,150.0487671,0.0025129375,299.896698,0.002240637438596491
50.2034111,1.4999942870000003,0.0028551480701754384,150.0485535,0.0025124204035087716,299.897049,0.002240171192982456
50.20337486,1.4979799800000002,0.002854171035087719,150.0484467,0.0025117340526315786,299.8974762,0.0022399346052631576
50.20384216,1.496213867,0.002852734412280702,150.0484467,0.0025109583333333334,299.897049,0.0022396344122807017
50.20363808,1.494197119,0.0028513178596491226,150.0481262,0.0025104210350877193,299.8965454,0.0022392301403508772
50.20349503,1.491940088,0.002849843640350877,150.0480194,0.002509926894736842,299.8965454,0.00223880550877193
50.20324898,1.490184082,0.0028489166228070177,150.0483398,0.002509397228070175,299.8972626,0.0022385266666666665
50.20332718,1.488152393,0.0028474127631578946,150.0484467,0.002508559201754386,299.8975525,0.0022380924912280705
50.2032795,1.4858681640000002,0.002846384447368421,150.0482635,0.002508078456140351,299.8986206,0.0022378270964912277
50.20311165,1.484099512,0.0028451879824561406,150.0483704,0.0025074182368421054,299.8982544,0.0022375050877192983
50.20298004,1.482074609,0.0028437307807017537,150.0478363,0.002506730675438596,299.8976135,0.002236954385964912
50.20298004,1.4800573730000002,0.0028424883421052627,150.0476913,0.002506015929824561,299.8979797,0.0022367885263157895
50.20314026,1.47815415,0.002841282236842105,150.0479431,0.0025054143859649125,299.8974762,0.0022363805438596488
50.20309448,1.476001807,0.0028400548245614034,150.0482254,0.00250485651754386,299.8980408,0.0022360844561403505
50.20297432,1.474105322,0.00283897949122807,150.0485077,0.0025041054561403507,299.8980408,0.002235699543859649
50.20282555,1.4719471190000002,0.002837599280701754,150.0482635,0.0025033959561403508,299.8990479,0.0022353829912280703
50.20265579,1.470039453,0.0028361652192982452,150.0481567,0.00250284300877193,299.8990479,0.002234969973684211
50.20236397,1.4678859860000002,0.002834905043859649,150.0481262,0.002502212736842105,299.8995361,0.0022346444035087716
50.2021904,1.465869287,0.0028338847105263154,150.0476532,0.0025016186052631583,299.8988953,0.002234320350877193
50.20198059,1.46396543,0.0028322946403508773,150.04776,0.0025010106315789477,299.8993988,0.002234070061403509
50.20186043,1.462069727,0.0028311598684210527,150.0476532,0.0025002169473684207,299.8992615,0.002233528324561403
50.20198631,1.459957764,0.0028299265175438593,150.047905,0.0024997963771929825,299.8992615,0.00223325701754386
50.20202255,1.457956787,0.0028286046052631575,150.0480499,0.002498976456140351,299.899765,0.002232949105263158
50.2020359,1.456053223,0.0028273834736842105,150.0480499,0.0024983139385964907,299.9003448,0.0022323788070175436
50.2020359,1.45404292,0.0028261899298245613,150.0480499,0.0024978651403508773,299.9004822,0.0022321764210526318
50.20215416,1.4519154300000001,0.0028248614298245615,150.0488052,0.002497027394736842,299.8999023,0.002231832710526316
50.20223808,1.4500405760000001,0.0028237590789473685,150.0483398,0.0024964804210526317,299.9002686,0.0022314949912280698
50.20207214,1.44804043,0.0028224419210526315,150.0484772,0.0024957404210526313,299.9006348,0.002231139666666667
50.20211983,1.446019092,0.0028210961315789478,150.0483398,0.002495139745614035,299.9006348,0.0022307725614035085
50.20208359,1.444147217,0.002819812535087719,150.0483704,0.002494362245614035,299.9001312,0.0022303460701754386
50.20201683,1.44214668,0.002818416166666667,150.0484085,0.002493868456140351,299.8996277,0.002230019385964912
50.20184898,1.440129883,0.0028172659736842103,150.0485535,0.002493013298245614,299.9002686,0.002229513157894737
50.20188522,1.4381060060000002,0.0028158187017543854,150.0481567,0.002492387763157895,299.8994751,0.0022293836228070175
50.20206451,1.436101172,0.0028144146315789475,150.0483017,0.0024918837192982454,299.8999023,0.00222889801754386
50.20208931,1.4340842290000002,0.0028137100701754385,150.0486221,0.0024913000614035087,299.900177,0.0022285577719298242
50.20204163,1.432206055,0.0028121512017543863,150.0488052,0.0024905885701754383,299.9002686,0.0022282539122807023
50.20178413,1.4302226070000001,0.002810811675438597,150.0487289,0.0024897850877192984,299.9002686,0.002227815394736842
50.20191574,1.428228125,0.0028096437543859653,150.0481262,0.002489125701754386,299.9005585,0.002227310192982456
50.20156288,1.4262353030000001,0.0028081862631578946,150.0477219,0.0024884497192982453,299.9015503,0.0022272394649122803
50.20145988,1.424241748,0.0028068006228070177,150.0476608,0.002487946412280702,299.9013977,0.002226603263157895
50.20145988,1.422109424,0.0028054285614035083,150.0470505,0.0024872361140350877,299.9015503,0.0022264974736842104
50.20138931,1.420235156,0.0028043804473684214,150.0469742,0.002486598736842105,299.9022675,0.0022260984385964913
50.20137024,1.418231152,0.002803050535087719,150.046936,0.0024859574824561406,299.9015503,0.002225863596491228
